nom_plante,numero_etape,titre_etape,description_etape
Tomate,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Tomate,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Tomate,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Tomate,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Tomate,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Basilic,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Basilic,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Basilic,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Basilic,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Basilic,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Menthe,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Menthe,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Menthe,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Menthe,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Menthe,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Romarin,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Romarin,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Romarin,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Romarin,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Romarin,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Lavande,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Lavande,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Lavande,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Lavande,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Lavande,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Citronnier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Citronnier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Citronnier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Citronnier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Citronnier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Olivier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Olivier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Olivier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Olivier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Olivier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Figuier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Figuier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Figuier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Figuier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Figuier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Orchidée,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Orchidée,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Orchidée,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Orchidée,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Orchidée,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Aloe Vera,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Aloe Vera,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Aloe Vera,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Aloe Vera,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Aloe Vera,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Géranium,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Géranium,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Géranium,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Géranium,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Géranium,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Rosier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Rosier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Rosier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Rosier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Rosier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Piment,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Piment,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Piment,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Piment,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Piment,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Poivron,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Poivron,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Poivron,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Poivron,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Poivron,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Courgette,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Courgette,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Courgette,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Courgette,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Courgette,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Fraise,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Fraise,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Fraise,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Fraise,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Fraise,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Carotte,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Carotte,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Carotte,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Carotte,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Carotte,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Persil,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Persil,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Persil,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Persil,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Persil,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Ciboulette,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Ciboulette,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Ciboulette,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Ciboulette,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Ciboulette,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Laurier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Laurier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Laurier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Laurier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Laurier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Sauge,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Sauge,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Sauge,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Sauge,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Sauge,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Thym,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Thym,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Thym,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Thym,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Thym,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Camomille,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Camomille,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Camomille,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Camomille,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Camomille,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Tournesol,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Tournesol,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Tournesol,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Tournesol,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Tournesol,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Chêne,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Chêne,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Chêne,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Chêne,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Chêne,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Érable,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Érable,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Érable,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Érable,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Érable,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pin,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pin,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pin,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pin,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pin,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Palmier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Palmier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Palmier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Palmier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Palmier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cyprès,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cyprès,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cyprès,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cyprès,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cyprès,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Bégonia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Bégonia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Bégonia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Bégonia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Bégonia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Jasmin,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Jasmin,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Jasmin,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Jasmin,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Jasmin,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Hortensia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Hortensia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Hortensia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Hortensia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Hortensia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Magnolia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Magnolia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Magnolia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Magnolia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Magnolia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Tulipe,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Tulipe,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Tulipe,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Tulipe,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Tulipe,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Narcisse,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Narcisse,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Narcisse,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Narcisse,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Narcisse,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pivoine,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pivoine,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pivoine,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pivoine,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pivoine,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Lys,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Lys,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Lys,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Lys,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Lys,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Violette,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Violette,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Violette,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Violette,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Violette,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Azalée,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Azalée,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Azalée,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Azalée,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Azalée,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Dahlia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Dahlia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Dahlia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Dahlia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Dahlia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Citrouille,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Citrouille,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Citrouille,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Citrouille,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Citrouille,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Betterave,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Betterave,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Betterave,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Betterave,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Betterave,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Raisin,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Raisin,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Raisin,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Raisin,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Raisin,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pomme,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pomme,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pomme,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pomme,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pomme,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Poire,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Poire,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Poire,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Poire,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Poire,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cerise,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cerise,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cerise,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cerise,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cerise,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Abricot,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Abricot,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Abricot,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Abricot,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Abricot,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pêcher,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pêcher,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pêcher,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pêcher,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pêcher,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Prunier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Prunier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Prunier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Prunier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Prunier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Noisetier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Noisetier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Noisetier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Noisetier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Noisetier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Chou,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Chou,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Chou,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Chou,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Chou,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Brocoli,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Brocoli,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Brocoli,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Brocoli,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Brocoli,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Radis,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Radis,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Radis,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Radis,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Radis,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Navet,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Navet,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Navet,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Navet,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Navet,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Oignon,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Oignon,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Oignon,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Oignon,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Oignon,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Ail,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Ail,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Ail,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Ail,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Ail,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Poireau,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Poireau,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Poireau,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Poireau,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Poireau,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Maïs,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Maïs,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Maïs,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Maïs,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Maïs,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Riz,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Riz,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Riz,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Riz,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Riz,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Blé,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Blé,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Blé,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Blé,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Blé,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Orge,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Orge,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
